dataset,GNN,LLM,experiment,F1
ibm_aml_hi_small,GCN,Qwen 2.5 3B,Recon no GNN,0.5432276868059477
ibm_aml_hi_small,GCN,Qwen 3.5 27B,Recon no GNN,0.681730735930736
ibm_aml_hi_small,GCN,Qwen 3.5 35B A3B,Recon no GNN,0.6255904761904761
ibm_aml_hi_small,GCN,Qwen 3.5 4B,Recon no GNN,0.5175238095238095
ibm_aml_hi_small,GCN,Qwen 3.5 9B,Recon no GNN,0.4916380952380952
ibm_aml_hi_small,GIN,Qwen 2.5 3B,Recon no GNN,0.5482061181784967
ibm_aml_hi_small,GIN,Qwen 3.5 27B,Recon no GNN,0.6833212121212121
ibm_aml_hi_small,GIN,Qwen 3.5 35B A3B,Recon no GNN,0.6242666666666666
ibm_aml_hi_small,GIN,Qwen 3.5 4B,Recon no GNN,0.5069238095238096
ibm_aml_hi_small,GIN,Qwen 3.5 9B,Recon no GNN,0.4960380952380952
ibm_aml_hi_small,GraphSAGE,Qwen 2.5 3B,Recon no GNN,0.5545847278041651
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 27B,Recon no GNN,0.6812688311688312
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 35B A3B,Recon no GNN,0.6253428571428571
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 4B,Recon no GNN,0.5192571428571429
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 9B,Recon no GNN,0.48883809523809524
